,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.30,0.19,0.31,0.71,0.70,0.41,1.00,1.00,-0.48,0.29,0.80,0.00,-0.01
error,0.04%,0.03%,0.01%,0.01%,0.45%,0.16%,0.01%,0.01%,0.03%,0.02%,0.01%,0.01%,0.01%
