2311s/4,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.29,0.19,0.30,0.69,0.77,0.48,0.99,1.00,-0.49,0.30,0.81,0.01,-0.01
error,0.01%,0.09%,0.01%,0.01%,2.33%,3.35%,0.01%,0.07%,0.02%,0.01%,0.03%,0.03%,0.01%
