930s/4,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.296424896,0.193859362,0.30899674,0.70619621,0.699459698,0.409009824,1.001295376,0.998940236,-0.483942722,0.291158322,0.796074624,0.00142381,-0.00567887
error,0.000413361,0.000260515,9.92E-05,6.37E-05,0.004531844,0.001632356,0.000115029,9.39E-05,0.000338174,0.000187327,0.000101262,8.31E-05,0.000111068
