,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.34,0.15,0.28,0.70,0.73,0.42,1.02,1.02,-0.50,0.29,0.83,0.00,0.01
error,0.041081651,0.046038728,0.015783883,0.00378472,0.034757505,0.015171921,0.015185099,0.016730275,0.002955668,0.009726469,0.028331143,0.001671206,0.008102899
