,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5,,AAE
estimation,0.3,0.2,0.3,0.7,0.75,0.46,1,1,-0.5,0.31,0.8,0,0,,0.0008
error,0.01%,0.01%,0.00%,0.01%,0.31%,0.33%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,,
