"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.301269138163203,0.200362768840758,0.494453792437605,0.499643415239222,0.537348193642222,0.53244009644152,0.998408906467363,0.999145336538374,-0.502747036642613,0.300580104197616,0.804225870009825,-0.00125571620548504,0.00195882823219202
"error",0.000553799194030391,0.0001383750609239,0.0696326923612228,0.0714756827366445,0.0574805996967588,0.0488108771927854,0.000402090910248712,0.000368935497337686,0.000599934933677691,0.000669684965522144,0.00109269009957057,0.000516381751951553,0.000516882450637287
"0.05",0.258364502413489,0.180440899608802,0.276662964380007,0.276435661695743,0.19266367197247,0.192903842067613,0.964283407179244,0.965857929187357,-0.546581386073455,0.25541517644502,0.74631997046179,-0.0404379524742527,-0.0384878610703314
"0.25",0.285356415428046,0.191727264252251,0.29699797943869,0.298349137333289,0.385326040329058,0.38515081514573,0.985340565092497,0.986754147331094,-0.520124246337355,0.282043332821514,0.780558102378126,-0.0173238136691153,-0.0141950492199863
"0.5",0.301616046363202,0.200394044495828,0.331747499235765,0.650160303715215,0.553948580556438,0.551069765707996,0.998178497525883,0.999450578873782,-0.50213186046262,0.299555226093371,0.804194787629344,-0.000963145511982535,0.00185166953583286
"0.75",0.317440874560636,0.208751630295991,0.697042947450807,0.696923975906034,0.697474439996413,0.695307995153177,1.01151603873218,1.0122882361211,-0.485428784739416,0.318751382695189,0.828178315844746,0.0149714476215204,0.0184602518565009
"0.95",0.342430343821178,0.221188889288499,0.722098444969238,0.721426653872448,0.823361489163967,0.819993111876562,1.03055101028553,1.0306158022818,-0.461750507483695,0.346383132728793,0.859726909043303,0.0365315682178759,0.0415094550579039
