"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.301822435190836,0.199708946531381,0.499986570743759,0.497272383248948,0.550637175491666,0.542569807179192,0.998950389256606,0.999831532696944,-0.501839056946807,0.301161674351938,0.800773004780735,-6.98202769459237e-05,0.000382485822236564
"error",0.000339292748582119,0.000115501506721679,0.069854475721558,0.0707001445393229,0.04891338479393,0.047941268203359,0.000149400324914448,0.000112725875484121,0.000202203771082746,0.000173173884175064,0.000331758727608997,0.000147667215193099,0.000145232808321163
"0.05",0.27316370423838,0.179014324161096,0.285753333906996,0.287794932608639,0.24167763059799,0.193437636934207,0.976215368634987,0.981209043952935,-0.529414794964269,0.278448936240963,0.771873153214756,-0.0247415194077463,-0.0199654098191835
"0.25",0.288094012594692,0.192214185859822,0.298658795259071,0.299034957611072,0.411959235798074,0.400606890651998,0.990516454808142,0.993260187772335,-0.51176065352697,0.290642922861918,0.787745178043487,-0.00820969386827567,-0.00908956478816093
"0.5",0.29969078931593,0.199619567417427,0.665519278812439,0.325112684642346,0.566672968560543,0.564337860014248,0.998508773597288,0.999924431942803,-0.500799675655259,0.300784658978607,0.799486419095455,0.00132167868797002,0.000358794148026232
"0.75",0.314955038980126,0.206625780276638,0.699853422946515,0.700479712043079,0.705210077320017,0.699002802021351,1.00742058111247,1.0070614966735,-0.491400701357603,0.310423855550565,0.811178291001538,0.00879951282593431,0.0090842958412059
"0.95",0.335032838232965,0.218566143507343,0.71233434246493,0.714584170260134,0.818727040837159,0.806915324918547,1.02105025947373,1.01844502533364,-0.476885074525725,0.326364327800099,0.83608546495221,0.019291611734074,0.0227565396216821
