"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.330451817544288,0.1534059578359,0.393541682666701,0.621320067524349,0.685727159698484,0.489470429447615,1.00299717621824,0.996210308780367,-0.494248771942628,0.290014034424567,0.797958325951774,0.00538708139205157,-0.00180343497526459
"error",0.00305259768970823,0.00469204307758017,0.0288820516590542,0.0340290654338201,0.0280946199771605,0.0384558727853499,0.000742991304174585,0.000149109526018406,0.000257087910974311,0.0001458323884507,0.00117646971865045,0.000566521911050201,0.000277031883479151
"0.05",0.269263315014128,0.0655638553906321,0.285403769821641,0.288397594333442,0.386886878870704,0.275078370261727,0.955442106814976,0.980091290733465,-0.518877616859118,0.276797142684904,0.746133208767009,-0.0215110552444917,-0.02666229712915
"0.25",0.312083467213485,0.140661049441583,0.304702818347441,0.690859342360989,0.616035672372863,0.276224538274833,0.984043167384391,0.988333480884608,-0.505686004843501,0.286414223050109,0.764798218379373,-0.00874587227410581,-0.0158147561311671
"0.5",0.315106124798856,0.15875136003953,0.32679946011134,0.711839577948583,0.723793074034422,0.564374710042367,1.01500982301766,0.990248641462474,-0.489915334079185,0.291653020267527,0.8133789400926,-0.00473730482528372,-0.00485974306268961
"0.75",0.346608958889256,0.177857618961836,0.335895877282142,0.71828896024052,0.770704194417938,0.605310590981513,1.02205520485936,1.00721128357935,-0.483497733823321,0.294926376915707,0.821562619638972,0.0197685083882866,0.0121944707269895
"0.95",0.4069818784196,0.224952621696768,0.678664901599771,0.738968853128596,0.896154162927959,0.747532527452442,1.03079324498523,1.01256021477814,-0.474581614682251,0.298540570358252,0.842787237488651,0.0464759395422066,0.0201829774720099
