"","x"
"1",0.0185930399768851
"2",0.104512490865611
"3",0.0149268847111724
"4",0.0310454665938844
"5",0.0959759444328024
"6",0.125795730594109
"7",0.0284279091542764
"8",0.0278256276034259
"9",0.0544137936424579
"10",0.0316000535227396
"11",0.080728022770642
"12",0.0214829896407596
"13",0.0282304876573266
"14",0.109822357156015
"15",0.128958645589918
"16",0.012631933338423
"17",0.0164688992502477
"18",0.0294251105528739
"19",0.0237732077284979
"20",0.115666097479756
"21",0.119735218575377
"22",0.104786832343514
"23",0.0255843101484613
"24",0.10827850893609
"25",0.0166325889831174
"26",0.02034729188848
"27",0.117844407211704
"28",0.0174399988250548
"29",0.115515028108746
"30",0.0972802350419352
"31",0.101558859855668
"32",0.01777238449774
"33",0.104728596125361
"34",0.0970293276617041
"35",0.0176525746312869
"36",0.106511329676519
"37",0.0205052023575193
"38",0.11889233034212
"39",0.0959419451276034
"40",0.123090687476788
"41",0.0251254419184109
"42",0.126025445667057
"43",0.137703725242907
"44",0.0922057870055465
"45",0.123269571311057
"46",0.0232562512308307
"47",0.0196027490590664
"48",0.112519078049417
"49",0.0303471016650769
"50",0.116310311363301
"51",0.0267967882874505
"52",0.142785283036911
"53",0.0278263918922572
"54",0.0313449522882059
"55",0.106920109013723
"56",0.113740050647335
"57",0.113403579093742
"58",0.12137083432156
"59",0.0142758701883025
"60",0.0367509602340477
"61",0.00715061831874428
"62",0.136906208640206
"63",0.0261359097115545
"64",0.129703037518837
"65",0.118372764805446
"66",0.0161291013481796
"67",0.120938507135744
"68",0.0303648762716783
"69",0.113140113768611
"70",0.116756878723119
"71",0.11622358930282
"72",0.0151346696649033
"73",0.0126909668229999
"74",0.111271656417724
"75",0.0189694794456766
"76",0.0322912198795897
"77",0.29000092041094
"78",0.11081683727453
"79",0.0731668161866158
"80",0.123423683295277
"81",0.0123523883651761
"82",0.112581778120632
"83",0.110631280781592
"84",0.137341340494673
"85",0.0161085652461279
"86",0.0926202279253163
"87",0.121468411993708
"88",0.0217963724861755
"89",0.0117332341320313
"90",0.0176511938007932
"91",0.0884390483459142
"92",0.0226601514365296
"93",0.105303559144409
"94",0.0336104829108279
"95",0.0130574988344275
"96",0.0183604095426038
"97",0.0338335331026703
"98",0.105215564255722
"99",0.0981251476360919
"100",0.117015457083715
"101",0.0202760148027138
"102",0.0165562236312226
"103",0.110826411294631
"104",0.105227010138242
"105",0.0152185287855635
"106",0.0158926982603118
"107",0.0303072835001144
"108",0.0200013037663904
"109",0.0158769649643283
"110",0.0997797144098224
"111",0.134915548441624
"112",0.0315424492902104
"113",0.114417870979647
"114",0.112406546506003
"115",0.0363419135931764
"116",0.097612700487329
"117",0.120100070442707
"118",0.140970463261716
"119",0.0121902909023783
"120",0.0222022716768143
"121",0.0222349628827481
"122",0.0337022069940694
"123",0.128850111830023
"124",0.0215202982592441
"125",0.118305945551565
"126",0.144570607750896
"127",0.122645508999795
"128",0.0231404106386807
"129",0.115732599763349
"130",0.024013877802655
"131",0.106175366145241
"132",0.118995307140416
"133",0.0199999539632982
"134",0.131042518999457
"135",0.0979943492515384
"136",0.0223584930633918
"137",0.0315643018879577
"138",0.102912397957844
"139",0.137548751126797
"140",0.103038940763222
"141",0.133508170117645
"142",0.123682922055336
"143",0.0139545569192874
"144",0.0899533343697992
"145",0.01920335140653
"146",0.112817936914246
"147",0.121782470928812
"148",0.125223016284316
"149",0.0137421659157464
"150",0.137819268882226
"151",0.0206376840564116
"152",0.119359542615949
"153",0.092951064724907
"154",0.111975184532823
"155",0.119107546946108
"156",0.0323671898628128
"157",0.109090495469566
"158",0.0221856916286129
"159",0.0164425095210951
"160",0.0225743362080455
"161",0.0197849635877544
"162",0.0340640883479048
"163",0.123347813310989
"164",0.0944567168163838
"165",0.12277794045153
"166",0.0243009489724671
"167",0.0413792743799032
"168",0.0283485814652896
"169",0.0186039323804877
"170",0.141781177831688
"171",0.0305579353346371
"172",0.0156112895067717
"173",0.019329589904301
"174",0.041723091013327
"175",0.111945990126458
"176",0.122097479159829
"177",0.116917701006122
"178",0.100634719836128
"179",0.0347940210879843
"180",0.0303250296145886
"181",0.0296238021297953
"182",0.126173938662841
"183",0.0132885762604432
"184",0.135575998292746
"185",0.100786389679645
"186",0.0233942928225292
"187",0.108211818564019
"188",0.105961723581091
"189",0.0215004610649634
"190",0.112661948237666
"191",0.0227793346567773
"192",0.105316351873989
"193",0.0113295494372222
"194",0.0300920044600791
"195",0.0186369971844101
"196",0.0172994244781526
"197",0.111727335516283
"198",0.109395205606492
"199",0.022636939026021
"200",0.117700215483816
"201",0.119234380842764
"202",0.0151436999429079
"203",0.115242909830242
"204",0.114101240445826
"205",0.0215049827033093
"206",0.120672214975966
"207",0.015780601293742
"208",0.0969070081809977
"209",0.012114407074091
"210",0.0493312017493474
"211",0.109761920960227
"212",0.032453519307155
"213",0.027924035390098
"214",0.0215601209770595
"215",0.141112222972373
"216",0.145115887349063
"217",0.138522816322157
"218",0.0340146466153261
"219",0.0282926716031326
"220",0.134929576782043
"221",0.0321733942314688
"222",0.0247648514076776
"223",0.0222747953092146
"224",0.138705890887196
"225",0.113851298346284
"226",0.0141244292930764
"227",0.110690591470736
"228",0.115389955560061
"229",0.0381759363058775
"230",0.113472444863467
"231",0.0844443704076921
"232",0.0112886212273528
"233",0.0240473612451712
"234",0.0155304986310092
"235",0.108348343251854
"236",0.0329052513563187
"237",0.0425081722147842
"238",0.036950898280892
"239",0.0316589418455658
"240",0.131352415584351
"241",0.0268745019895524
"242",0.021751554522306
"243",0.0335581884183088
"244",0.0347155993806331
"245",0.130528047123514
"246",0.0305316810327152
"247",0.0161079707976234
"248",0.0195628208876019
"249",0.0294962768052838
"250",0.0214564983115716
