"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.307545552645592,0.190740600360702,0.486831621409177,0.507975375509955,0.542559671460048,0.535907064874604,1.00084885302201,1.00013817441559,-0.50241857304718,0.300775521079729,0.802056279291208,0.000295135940434168,0.000426958925132051
"error",0.0011564527129272,0.00206215614430269,0.0567159740023653,0.057612192483025,0.0467765943858879,0.0401432383767105,0.000154317296961841,0.000162265706151469,0.000147994290317493,0.000157335571669502,0.000277358048848304,0.000168632585719557,0.000144901478688807
"0.05",0.249976373248391,0.107199158830987,0.283833402521664,0.288198824296915,0.212311487711859,0.192449828341289,0.981267003591124,0.979808973627427,-0.523172411734103,0.280049939927031,0.77180922870573,-0.0245547960149211,-0.0195867764399422
"0.25",0.280679166074108,0.158428262620196,0.296519039185652,0.300624431843565,0.386140992518392,0.411783743125575,0.992575898828807,0.991761637540545,-0.51147592746613,0.291107985763527,0.789553302386852,-0.00828890260218906,-0.00831536748940752
"0.5",0.301910233061242,0.192878038953898,0.316377715120574,0.676509585371389,0.570459458411029,0.562376996267285,1.00030917771993,0.998690466622281,-0.502094694515561,0.301037977061399,0.801650184512193,0.000816925975508676,-0.000262648904537896
"0.75",0.333403367960161,0.224007360601904,0.698187881999364,0.699888593451191,0.696819481591111,0.679938171266707,1.00751338045137,1.00696961071368,-0.494129220118122,0.310534223573348,0.816509753575005,0.0106825013676475,0.00927015987586197
"0.95",0.377248329762696,0.26794344028664,0.712399594507172,0.712151546170209,0.818562029186675,0.817681063076571,1.02241914982901,1.02115943921391,-0.478618887622934,0.323507561747318,0.832066055242408,0.0248328771633756,0.0238498841862677
