"","x"
"1",0.035253396380705
"2",0.0475409322271791
"3",0.0167915144250886
"4",0.0290679119283281
"5",0.0373224897327105
"6",0.0241409304128195
"7",0.0346039789540003
"8",0.0226642157760718
"9",0.0447237004094501
"10",0.0259188864554808
"11",0.0307573488325388
"12",0.0312373281834695
"13",0.0204165690976775
"14",0.0121514633560808
"15",0.0266082212963035
"16",0.0342993370762756
"17",0.0213706709491266
"18",0.045202064945977
"19",0.0288522200701846
"20",0.0385949105300657
"21",0.0374903373102221
"22",0.0209528411640904
"23",0.0481148049741792
"24",0.0337661045756532
"25",0.0432593388536241
"26",0.123653589963717
"27",0.0484913474275656
"28",0.0223211033287498
"29",0.0366198757279392
"30",0.0376403794413106
"31",0.0358581405996058
"32",0.021696917903233
"33",0.037443802694813
"34",0.0293932770547093
"35",0.0413334180714403
"36",0.0483307122266409
"37",0.0399483779412149
"38",0.0209097979686793
"39",0.0320227936971502
"40",0.0310740439146864
"41",0.026992876212359
"42",0.0558289020558163
"43",0.0255101647562238
"44",0.0339118430954246
"45",0.0274882535012652
"46",0.0281896889448427
"47",0.0242015439335528
"48",0.0437410389374915
"49",0.0538554792646008
"50",0.0328502526990134
"51",0.0186499002499321
"52",0.0325258059958883
"53",0.0391252586536381
"54",0.0529440624236391
"55",0.036479487620523
"56",0.0303028898738919
"57",0.0398804313466148
"58",0.0278529329424363
"59",0.0253181652662079
"60",0.0331776124934792
"61",0.0285911092917632
"62",0.0200939711834096
"63",0.0360951003279623
"64",0.0240925551280933
"65",0.0188600357876945
"66",0.02704818260731
"67",0.139123659690379
"68",0.0355885599902952
"69",0.03591434126689
"70",0.0347163766566832
"71",0.0264076227458917
"72",0.0323758021766774
"73",0.0291144306985279
"74",0.0224493827825641
"75",0.0475987089128571
"76",0.0440158414175235
"77",0.019276582301118
"78",0.0201433247461699
"79",0.0312717907524398
"80",0.0292953311233941
"81",0.0361479095059425
"82",0.0395839801370937
"83",0.0225590682211502
"84",0.033598737967105
"85",0.0454241572277312
"86",0.036883162892486
"87",0.0240034453148226
"88",0.0422679074782326
"89",0.024845516362881
"90",0.0213508206349372
"91",0.0385900688509722
"92",0.036495974162246
"93",0.0269462536455702
"94",0.0229929079827773
"95",0.0234603088362898
"96",0.040451953808585
"97",0.0203509759725811
"98",0.0278515325266114
"99",0.0274508921643962
"100",0.0297328662897275
"101",0.0164304188079428
"102",0.0433812566401545
"103",0.0278143870351402
"104",0.0222760022923764
"105",0.13240818093877
"106",0.0417383228908939
"107",0.0248915413828848
"108",0.0369555417941577
"109",0.0150532033633934
"110",0.0402305089365799
"111",0.0233048379456462
"112",0.0344489573447391
"113",0.026759636288744
"114",0.0237146719046651
"115",0.0580088947876666
"116",0.0260327382823305
"117",0.0244594656775506
"118",0.0365023547522483
"119",0.0365044847864806
"120",0.0444603898871123
"121",0.0348638042216063
"122",0.0284233920110845
"123",0.0326261176428915
"124",0.126999066609299
"125",0.0577695819993475
"126",0.0324224398778456
"127",0.0222837150087934
"128",0.0290502704639471
"129",0.0386881238185805
"130",0.0217637572124498
"131",0.0234579873382005
"132",0.0567551531051153
"133",0.0371066597908518
"134",0.0422471754896474
"135",0.0205386140280953
"136",0.0175629082751346
"137",0.0491868067681479
"138",0.0310675153462596
"139",0.0226838902539428
"140",0.0273425290799132
"141",0.0316575065303068
"142",0.0353647307296483
"143",0.0333272762500251
"144",0.0412461319496185
"145",0.029268098312704
"146",0.03634155736995
"147",0.0248711516374424
"148",0.0384599983208327
"149",0.0351228374815765
"150",0.0296203860715336
"151",0.0378435055962293
"152",0.0304327425511094
"153",0.0442807473179749
"154",0.0483631145937654
"155",0.0251706135198665
"156",0.0328248920221991
"157",0.0193023000834974
"158",0.0315753482426363
"159",0.017800024626136
"160",0.0300763421516601
"161",0.0299403347083839
"162",0.023943753138139
"163",0.029816254420905
"164",0.0144382045087536
"165",0.0292730602014196
"166",0.0489976935768176
"167",0.063647849779038
"168",0.0412515422057848
"169",0.0345110460376101
"170",0.0586886582447972
"171",0.0294367087477471
"172",0.0220764609392376
"173",0.0497963051785194
"174",0.121986079462253
"175",0.0210156379647371
"176",0.0375113027544513
"177",0.0327686027683558
"178",0.0324980605977633
"179",0.0235008086674114
"180",0.0328801006259567
"181",0.0426721683800333
"182",0.0371354043828651
"183",0.024871406317483
"184",0.0225919840372654
"185",0.0278765814475546
"186",0.0298987373170475
"187",0.044216783907473
"188",0.0305623180408181
"189",0.0336137080298201
"190",0.0382222572163426
"191",0.028618030145431
"192",0.0514531713914243
"193",0.0245499483940409
"194",0.0452106464220468
"195",0.028251079267398
"196",0.0301721113403144
"197",0.0395594993539106
"198",0.0333000306361542
"199",0.0304319245241636
"200",0.0434491618769781
"201",0.0307649630918764
"202",0.0528459522253031
"203",0.0283199601852933
"204",0.0104613151660294
"205",0.0277264571144133
"206",0.0372938538646397
"207",0.0372227140462761
"208",0.0361616197569568
"209",0.0157973158916617
"210",0.0282654594017843
"211",0.0337296751816319
"212",0.0318256100647097
"213",0.0324935368910271
"214",0.023210152339479
"215",0.0431863562587958
"216",0.0356882520348352
