"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.300369155246009,0.200046851578067,0.299383675071066,0.698282127208416,0.677745408725322,0.403853029612745,0.999633352768857,0.996747608834943,-0.501003681540768,0.30087722127288,0.801167971208944,-0.000575747042624787,8.46723984756389e-05
"error",0.000158275450864464,5.63844424425417e-05,9.86504067930381e-05,0.000385455527206698,0.00963861112311702,0.0828222482740788,0.000123796530256723,0.00414374145381348,0.000198557566327805,0.000197404990254765,0.000283405675434104,0.000185466013701735,0.00014326052739949
"0.05",0.278775180821364,0.187097901178379,0.283874419857687,0.680214816864352,0.486821307035575,0.168583883557806,0.980356714602731,0.980478369747744,-0.527261906222489,0.275600404345291,0.772518352829439,-0.0244401402824651,-0.0220911511619896
"0.25",0.290439408522994,0.194477468628363,0.293028095894978,0.691176826122043,0.604380373704559,0.322211665619393,0.992357910770552,0.99218165341915,-0.51086627076004,0.290807147082614,0.788808199116348,-0.00984738709443631,-0.00875056744033409
"0.5",0.300124292780252,0.199908898797312,0.298766372624404,0.699168340438683,0.681126923271089,0.427972863487791,0.999342091737756,0.998867708897061,-0.501304256535708,0.301301612980206,0.800956418294227,-0.00120294802286404,0.00021983908796689
"0.75",0.309734534496661,0.204958469877424,0.305567284432815,0.707035183740855,0.750630546464203,0.484275340122765,1.0066317335702,1.00607164317099,-0.490797410911387,0.310881755822199,0.813569620213829,0.00958852083134669,0.00831735261273405
"0.95",0.322419760493663,0.214002409698709,0.314802995936796,0.718468465190007,0.832401759816464,0.611976932472173,1.01961786757285,1.01750455508757,-0.475562976951115,0.325156736981451,0.831435288422389,0.0235287161454874,0.0206153669734845
