"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.301299629648687,0.200358562704733,0.508923274870133,0.485615594215304,0.529113313903936,0.543175180121817,0.99813604699872,0.997846789990166,-0.503473257221337,0.302101189769983,0.803604498207986,0.000701142184275027,-0.000799170031660187
"error",0.000518433861807325,0.0001471183881895,0.0782713824763145,0.0809074710992537,0.0623756492832721,0.0539454198499214,0.000365447761672826,0.000384014332926066,0.000729852996889636,0.000641106140362699,0.000890757701361487,0.0005845923457716,0.000687212781444507
"0.05",0.264392936238369,0.179531252384004,0.277807992237286,0.274992184172917,0.193290077523527,0.193101101244293,0.965832535946178,0.966387135118488,-0.551258417794995,0.259661833019076,0.756469630334246,-0.0416153196547503,-0.045048668547342
"0.25",0.285437679131702,0.191892487284477,0.298970953751656,0.295482595416016,0.384195062643662,0.387412038653931,0.985617756742753,0.985193753049963,-0.521226499954405,0.286129937046551,0.782479528430914,-0.0150503142422321,-0.018964952035066
"0.5",0.300288308782106,0.20067568275922,0.666115082018553,0.321838765518417,0.537942379170663,0.567474854647467,0.998562312657713,0.997457278003816,-0.502719415115356,0.30053461949868,0.804036827875961,0.000698737429163303,-0.000651662921290701
"0.75",0.315868947555169,0.208815650359571,0.698473667838231,0.696228167759697,0.695483892547316,0.698711036726035,1.01039351066544,1.0110407940231,-0.484395193052656,0.319133397880993,0.823554214037084,0.0166446387879609,0.016774537398352
"0.95",0.343467237039431,0.220009357317507,0.722849412497298,0.722544253591092,0.818746745712574,0.819411387579524,1.02996251591202,1.03103420159691,-0.460858321291793,0.345655487009025,0.855840641455643,0.0425136094002944,0.0424867901026875
