,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.3019,0.2004,0.3045,0.6893,0.6637,0.4077,0.9981,0.9984,-0.5038,0.3028,0.8049,0.0003,-0.0007
error,0.04%,0.01%,0.29%,0.31%,2.25%,1.71%,0.02%,0.04%,0.06%,0.06%,0.08%,0.05%,0.06%
0.05,0.265183187,0.179812262,0.269274887,0.662941574,0.44449743,0.160265023,0.972026188,0.961743418,-0.553403316,0.261432131,0.757831236,-0.041601058,-0.045010256
0.25,0.285764899,0.191904159,0.285876028,0.684955124,0.589662692,0.317538143,0.987784634,0.983298812,-0.521573615,0.28599454,0.783409092,-0.015107174,-0.01871774
0.5,0.301022984,0.200891909,0.296894418,0.697612474,0.68106706,0.409969765,0.998393221,0.998360573,-0.503092561,0.300744556,0.804805987,0.000578866,-0.000161865
0.75,0.31667065,0.209235663,0.308544368,0.709446458,0.760391129,0.519690603,1.009227454,1.012660134,-0.484295154,0.319992695,0.824680641,0.015953751,0.016724083
0.95,0.343055902,0.22003049,0.326843238,0.729815513,0.833743731,0.643379071,1.024116468,1.036010302,-0.461664301,0.346882758,0.856285356,0.042438551,0.040976057
