"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.300760632801926,0.200197702877229,0.492701419930753,0.50502631268592,0.539833675641025,0.53402017524155,0.9948525481195,0.999817857492378,-0.501449903924908,0.301207825540375,0.800889054061183,-1.75711617689705e-07,-0.000889367248466936
"error",0.000137501508318086,3.99495094255247e-05,0.0661383549949651,0.0666054902762984,0.0481116875632747,0.0429131110467161,0.00806356543114711,0.000110081648432439,0.000192727088907112,0.000193946599540434,0.00038464256895849,0.000158230923797323,0.000126773361844451
"0.05",0.279894020765863,0.189159508942372,0.286849694525296,0.287551784544995,0.241559476106142,0.240826039422633,0.980985353873278,0.981116770761066,-0.527942776884257,0.277336199039204,0.766999239248569,-0.0228080766183776,-0.0210946075432107
"0.25",0.291506297906562,0.195237116258523,0.298320979644357,0.299858163894002,0.412149871983191,0.385494633179797,0.992972801637716,0.993541922442891,-0.511241777890034,0.290970815717703,0.785843416564145,-0.0090404673132372,-0.0094014862892518
"0.5",0.300517124610154,0.200299405894546,0.317658962020968,0.67222996495743,0.552575880462955,0.542596977549378,0.99966131059784,0.999992131468266,-0.500606472286604,0.301758302972187,0.801669978703284,0.000773638657073337,-0.000303188123708105
"0.75",0.309951919899873,0.20459203664848,0.699439178739516,0.69942154215477,0.691690169354242,0.689641011456194,1.00600343882958,1.00616292645562,-0.491681521851053,0.311526443947216,0.813974763327659,0.00898556065528754,0.00694493136830039
"0.95",0.321446650297569,0.212052739701694,0.714831228827952,0.714210215090644,0.781338204600805,0.799881314788634,1.01647047272249,1.01683293712249,-0.476276783855044,0.325469295767552,0.835990810479672,0.0227235992369822,0.0185443971162862
