"","x"
"1",0.0283822624511688
"2",0.0307436147387098
"3",0.128813156688872
"4",0.0282213996322308
"5",0.14040404882809
"6",0.129362471790761
"7",0.127336220727933
"8",0.0302034343207355
"9",0.0214729007937537
"10",0.0399677164557616
"11",0.0318258167527531
"12",0.139919866035508
"13",0.137939295384424
"14",0.0310827745756802
"15",0.0382433261159625
"16",0.0239215521429852
"17",0.102288984309869
"18",0.123081084879908
"19",0.148571472809357
"20",0.132378348818212
"21",0.121074800314489
"22",0.0146587390821985
"23",0.0999958315660976
"24",0.0354649333650167
"25",0.127907984323775
"26",0.13356651682111
"27",0.114409012980668
"28",0.0290067087440855
"29",0.106853157949852
"30",0.130443108649263
"31",0.0311987606314514
"32",0.0183430283137801
"33",0.0237221422848712
"34",0.0372559937283379
"35",0.0237797183341721
"36",0.0369778354980319
"37",0.0267211081071358
"38",0.0980936016131289
"39",0.122620579389963
"40",0.108401549477649
"41",0.119212079672997
"42",0.0394874186642968
"43",0.098425775435441
"44",0.0186543357586852
"45",0.0158977368631681
"46",0.0430657044484858
"47",0.102626742295954
"48",0.0370794854549457
"49",0.108268378388669
"50",0.0262243197142469
"51",0.0168113904084627
"52",0.12600622333146
"53",0.025819113641855
"54",0.119716453196595
"55",0.101373435922754
"56",0.0286116288543607
"57",0.105717075126763
"58",0.0283471883577303
"59",0.114744761996203
"60",0.0408632202290047
"61",0.0232746404659554
"62",0.0207845069899076
"63",0.0355928953829653
"64",0.104492795289998
"65",0.123157392129658
"66",0.113731718785186
"67",0.141336143473815
"68",0.117934183362848
"69",0.0712805441942239
"70",0.127042370328311
"71",0.141957993600604
"72",0.0141245502808044
"73",0.0210626085335137
"74",0.0284837924300234
"75",0.020563207664629
"76",0.132295647095383
"77",0.0461068057878659
"78",0.114621115040351
"79",0.106042223656251
"80",0.0351199443651512
"81",0.110948982143529
"82",0.0279405961909771
"83",0.112372082342473
"84",0.0216210938230079
"85",0.14320470691449
"86",0.0173405973937498
"87",0.117971997900739
"88",0.0302787004578895
"89",0.0192391275512089
"90",0.116512976057333
"91",0.13280676521363
"92",0.0179495730919176
"93",0.0356519432873963
"94",0.0295652370694069
"95",0.0241395930260817
"96",0.114910427051557
"97",0.125697862481649
"98",0.120486324047967
"99",0.0206183195619496
"100",0.0290297627710965
"101",0.120017948763423
"102",0.0321596425887646
"103",0.0430443970460711
"104",0.148738961042966
"105",0.114165147731157
"106",0.109364429428773
"107",0.105792486171233
"108",0.11118634341164
"109",0.123044131874333
"110",0.123034247441273
"111",0.0402904262323577
"112",0.136536395249132
"113",0.037086775681541
"114",0.0345737321798921
"115",0.0392738404630796
"116",0.0241991774453034
"117",0.0306089480092319
"118",0.0250253281352389
"119",0.0279682435757846
"120",0.124776885616285
"121",0.133572287951918
"122",0.131314461126837
"123",0.109713577028799
"124",0.0453552504364985
"125",0.0330083287295049
"126",0.111379684964843
"127",0.1112847709094
"128",0.0203554756883865
"129",0.0393589826880198
"130",0.0155674984480725
"131",0.126085186143688
"132",0.0373423738772594
"133",0.118485307161329
"134",0.0367466927123688
"135",0.139735784937445
"136",0.0312878305535745
"137",0.0277992149221619
"138",0.14152433087069
"139",0.127182792566741
"140",0.0269707243485581
"141",0.103012241475073
"142",0.132451895299272
"143",0.0293417731727663
"144",0.0974867203134866
"145",0.0316384583911598
"146",0.148492975208642
"147",0.0363667321543634
"148",0.135612404422965
"149",0.103276952915242
"150",0.0996522974239893
"151",0.115327439961668
"152",0.124842065657152
"153",0.0222829342387909
"154",0.109554458045171
"155",0.123447272544099
"156",0.0381413404411023
"157",0.0266310346098895
"158",0.120302541815967
"159",0.120395603778596
"160",0.117015707257681
"161",0.0209147224205593
"162",0.139807280419094
"163",0.129469185252262
"164",0.0368905335326983
"165",0.141933713690985
"166",0.0331472337720466
"167",0.124502490184736
"168",0.0869405922969854
"169",0.114797760797162
"170",0.0414587616536873
"171",0.117886679199404
"172",0.0532636758947284
"173",0.0745320320504583
"174",0.133333741568034
"175",0.0366632823255337
"176",0.120274544070017
"177",0.109309483410152
"178",0.137218034525132
"179",0.0365463499005708
"180",0.0213047609640348
"181",0.0211718015554073
"182",0.0936175249722218
"183",0.0281724465413625
"184",0.0331481979488085
"185",0.0311188951866893
"186",0.0256052977737995
"187",0.0157274071263788
"188",0.0406166801631562
"189",0.12803423359215
"190",0.113623140074914
"191",0.0299136747447144
"192",0.132455472764444
"193",0.0216625784932047
"194",0.0301655887342555
"195",0.0276240599044093
"196",0.0377439378916926
"197",0.0180375954992998
"198",0.0210549407023938
"199",0.120596429477225
"200",0.0327340368005477
"201",0.0450089525288548
"202",0.0321139486985559
"203",0.104475965824074
"204",0.0368955245596043
"205",0.1210031266805
"206",0.126535989872876
"207",0.0257973714541491
"208",0.019110930885679
"209",0.0340168859910028
"210",0.0391829807701277
"211",0.032603770642929
"212",0.0413247734620091
"213",0.0210506813835723
"214",0.0370632298705465
"215",0.0287961029353196
"216",0.151356190498415
"217",0.0119320682491005
"218",0.0303840140281973
"219",0.0133607595329986
"220",0.0199504379289396
"221",0.0255295241229143
"222",0.0215183603330605
"223",0.133916764472232
"224",0.0399378751811897
"225",0.0393416611067222
"226",0.127321741473012
"227",0.103953869376153
"228",0.0292881402433884
"229",0.0176795975050816
"230",0.116142439591319
"231",0.0284241951834498
"232",0.0256852798067702
"233",0.020349651805816
"234",0.0204860497574295
"235",0.150805932696668
"236",0.0300555138796304
"237",0.0862854673121763
"238",0.0865455158600556
"239",0.124059553754411
"240",0.095459181055449
