"","beta0","beta1","beta2_1","beta2_2","p11","p22","delta1","delta2","gamma1","gamma2","gamma3","gamma4","gamma5"
"estimation",0.31261309487955,0.189013107717123,0.494448290409779,0.499616265831809,0.536704104973011,0.522320715837414,0.998673783647829,0.9991693674203,-0.502851480872671,0.302475068025607,0.801564680123163,-0.000225203240606094,-0.000410856490051039
"error",0.00439187511536225,0.0044150507984,0.0735728653787445,0.0754070921500141,0.0674005756608508,0.0573030750496762,0.000516754090903531,0.000472331648185276,0.000549321400523132,0.000640145134517627,0.00101412362697911,0.00053360384879968,0.000538139555799534
"0.05",0.208081542448168,0.0744367463975721,0.275571352854565,0.279420439114317,0.193382895207513,0.161100202641937,0.966642882381753,0.968581139183118,-0.54391831576408,0.260815372104056,0.745557561216928,-0.0386235358919075,-0.0387091546244803
"0.25",0.268183581384145,0.146503175746372,0.296748986136745,0.29837595810285,0.386734741769582,0.371663720877976,0.985433590585577,0.987002886891952,-0.517676679738811,0.284950736656685,0.780179849121974,-0.016162151811926,-0.0158227102336146
"0.5",0.308415612260622,0.192546792770725,0.344296921423873,0.582570749336328,0.557650991304643,0.567457315125802,0.997772233146933,0.998265519326675,-0.502681922310409,0.302257351666508,0.803793736743886,-0.000306913867807271,0.000282724166523196
"0.75",0.354641681895488,0.234031866210255,0.698856210640717,0.696348720937893,0.704175431493093,0.696835378667864,1.01057744890046,1.01028628619933,-0.487345390940205,0.318999902855554,0.822853133727107,0.0150646102246178,0.0150084747934368
"0.95",0.430471971785944,0.288759903747447,0.723294124475178,0.722720866768233,0.820597084382135,0.818740823047462,1.03065169716525,1.03100652651593,-0.465152830184798,0.348790839149855,0.855390037991728,0.0411427312470313,0.0389712277123279
