46421.19,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.302,0.198,0.299,0.700,0.695,0.392,1.000,0.999,-0.500,0.300,0.801,0.000,0.000
error,0.000503844,0.000454804,7.75E-05,0.000106206,0.003140332,0.007585663,8.04E-05,0.000149002,0.000189075,0.000224827,0.000331054,0.000164579,0.000148778
0.05,0.265,0.163,0.286,0.684,0.600,0.247,0.984,0.980,-0.522,0.276,0.772,-0.022,-0.021
0.25,0.287,0.183,0.293,0.693,0.660,0.330,0.994,0.991,-0.509,0.290,0.788,-0.009,-0.009
0.5,0.303,0.198,0.299,0.700,0.696,0.396,1.000,0.999,-0.500,0.300,0.801,0.000,0.000
0.75,0.316,0.213,0.305,0.706,0.735,0.452,1.006,1.008,-0.491,0.310,0.814,0.009,0.008
0.95,0.339,0.232,0.314,0.717,0.786,0.535,1.015,1.019,-0.477,0.325,0.832,0.020,0.020
