500s/4,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.30,0.20,0.30,0.69,0.73, ,0.99,1.00,-0.49,0.29,0.79,0.01,0.00
error,0.09%,0.13%,0.03%,0.07%,0.47%,19247092.36%,0.01%,0.04%,0.03%,0.02%,0.07%,0.09%,0.04%
