36387.51,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5,,AAE
estimation,0.299,0.201,0.3,0.7,0.696,0.383,1,0.998,-0.499,0.301,0.798,0.001,0,,0.0018
error,0.000193626,0.000226451,6.50E-05,8.58E-05,0.006302704,0.015036982,4.89E-05,0.000104903,0.000127634,0.000135063,0.000212898,9.47E-05,9.83E-05,,
0.05,0.276,0.177,0.288,0.685,0.564,0.13,0.989,0.981,-0.519,0.283,0.773,-0.014,-0.014,,
0.25,0.288,0.191,0.294,0.693,0.642,0.294,0.995,0.992,-0.505,0.293,0.79,-0.006,-0.007,,
0.5,0.302,0.2,0.3,0.7,0.702,0.399,1,1,-0.498,0.3,0.798,0.001,-0.001,,
0.75,0.309,0.211,0.307,0.708,0.742,0.461,1.005,1.005,-0.491,0.308,0.808,0.007,0.005,,
0.95,0.32,0.223,0.313,0.715,0.825,0.552,1.011,1.016,-0.48,0.32,0.822,0.016,0.017,,
