15650.22,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.303,0.197,0.299,0.699,0.666,0.405,0.997,1.003,-0.498,0.299,0.801,0.000,-0.003
error,0.04%,0.07%,0.01%,0.02%,2.02%,2.15%,0.02%,0.03%,0.03%,0.02%,0.04%,0.03%,0.02%
0.05,0.273,0.150,0.281,0.677,0.403,0.158,0.973,0.974,-0.527,0.272,0.765,-0.030,-0.026
0.25,0.291,0.180,0.290,0.691,0.567,0.314,0.988,0.991,-0.506,0.289,0.787,-0.014,-0.013
0.5,0.303,0.198,0.298,0.696,0.688,0.380,0.997,1.003,-0.499,0.300,0.799,0.000,-0.002
0.75,0.313,0.214,0.308,0.707,0.785,0.476,1.007,1.016,-0.487,0.311,0.814,0.013,0.006
0.95,0.335,0.240,0.318,0.723,0.870,0.680,1.018,1.033,-0.468,0.323,0.839,0.030,0.019
