60836.5,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.300,0.200,0.300,0.699,0.691,0.385,1.000,0.999,-0.501,0.300,0.800,0.000,0.001
error,7.22E-05,0.000155156,3.11E-05,3.80E-05,0.003262224,0.006048722,1.96E-05,4.61E-05,6.65E-05,7.75E-05,0.000111121,5.88E-05,4.51E-05
0.05,0.286,0.179,0.291,0.689,0.590,0.247,0.993,0.988,-0.513,0.287,0.783,-0.010,-0.010
0.25,0.295,0.194,0.296,0.695,0.660,0.341,0.997,0.995,-0.507,0.295,0.794,-0.006,-0.003
0.5,0.300,0.201,0.300,0.699,0.697,0.396,0.999,0.999,-0.501,0.300,0.800,-0.001,0.001
0.75,0.305,0.206,0.303,0.703,0.734,0.433,1.002,1.004,-0.495,0.307,0.807,0.005,0.005
0.95,0.313,0.218,0.309,0.710,0.767,0.496,1.006,1.010,-0.488,0.314,0.817,0.013,0.012
