,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5,,aae
estimation,0.308,0.194,0.296,0.696,0.674,0.419,0.998,0.996,-0.503,0.305,0.802,-0.001,0,,0.0192
error,0.08%,0.08%,0.01%,0.02%,0.54%,0.66%,0.01%,0.02%,0.03%,0.03%,0.04%,0.02%,0.02%,,
0.05,0.221,0.107,0.259,0.653,0.403,0.188,0.965,0.951,-0.555,0.241,0.739,-0.052,-0.042,,
0.25,0.273,0.159,0.286,0.68,0.59,0.306,0.985,0.979,-0.524,0.281,0.776,-0.021,-0.021,,
0.5,0.306,0.194,0.297,0.696,0.702,0.404,0.998,0.996,-0.505,0.305,0.799,0.001,0.001,,
0.75,0.345,0.23,0.308,0.712,0.789,0.544,1.01,1.012,-0.481,0.333,0.83,0.02,0.021,,
0.95,0.402,0.279,0.329,0.739,0.876,0.702,1.034,1.042,-0.445,0.362,0.874,0.051,0.043,,
