3140s/4,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.31,0.19,0.30,0.71,0.60,0.39,1.00,1.00,-0.50,0.29,0.78,0.01,-0.01
error,0.03%,0.02%,0.00%,0.01%,2.04%,1.02%,0.00%,0.03%,0.02%,0.02%,0.04%,0.05%,0.02%
