"","x"
"1",0.00220648848336731
"2",0.000125380553840907
"3",0.0011861422676934
"4",0.000190204512331254
"5",0.00318083062747102
"6",0.000209961590772493
"7",0.000278984378624106
"8",0.00129528405729213
"9",0.000975768730707756
"10",0.00285065301680943
"11",0.000138031091454477
"12",0.00300722819427042
"13",0.000710007752153846
"14",0.00150784979353462
"15",0.00142898133576835
"16",0.000336162872610548
"17",0.00411171835925629
"18",0.000375524221848614
"19",0.00365161267138412
"20",0.00527642762393732
"21",0.00227608165304896
"22",0.00245292070527723
"23",0.00119764187232419
"24",0.000400480356780294
"25",0.000483377433809464
"26",0.00317376786721511
"27",0.00029405320006162
"28",0.00395721028317634
"29",0.000252003011447064
"30",0.00715625405418544
"31",0.00271494522468738
"32",0.00113254406181689
"33",0.00149308904023208
"34",0.0033711442386875
"35",0.000413498619345817
"36",0.000207650624496918
"37",0.000532820150689701
"38",0.000414356286355329
"39",0.00336938224936386
"40",0.00805558960418358
"41",0.00346892872899365
"42",0.00514615390407502
"43",0.000487713805357018
"44",0.001289842745618
"45",0.000812562723955574
"46",0.004389968690598
"47",8.77193464557949e-05
"48",0.000313194490244387
"49",0.00316137837664203
"50",0.00395504665356849
"51",0.00100872904980889
"52",0.00123249729904755
"53",0.000956649524606944
"54",0.000214311729858659
"55",0.00325456901776568
"56",0.00100164927306255
"57",0.000163645226453267
"58",0.000796544684184989
"59",0.00792621667299857
"60",0.00113177824297522
"61",0.00051032540769068
"62",0.000737621464396216
"63",0.0001361983996833
"64",0.00219770271565524
"65",0.00238055642763574
"66",0.00103460941583343
"67",0.00176085422767829
"68",0.00122059613817776
"69",0.0010054870325825
"70",0.000382444898576838
"71",0.00203172127755118
"72",0.00182906173274749
"73",0.00583253938524129
"74",0.000382971520884598
"75",0.00242310728330109
"76",0.00190085160791002
"77",0.00182641577467235
"78",0.000463358150441278
"79",0.00197867862900453
"80",0.000264597148775231
"81",0.000231343214891999
"82",0.00136654080092503
"83",0.000169540741735886
"84",0.000292153869437604
"85",0.000946157575910349
"86",0.000978983426279086
"87",0.000440648418801691
"88",0.000470945758315652
"89",0.00273773620158454
"90",0.00336864073828179
"91",0.00202156439518213
"92",0.00160317373075999
"93",0.00440212158286152
"94",0.00266016268780757
"95",0.000750523987345649
"96",0.00366756696038003
"97",0.000556210516572558
"98",0.00117489318462993
"99",0.00116704559716443
"100",0.000259701549902927
