,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.32,0.19,0.29,0.71,0.55,0.45,1.00,0.99,-0.50,0.29,0.80,-0.01,0.01
error,0.27%,0.03%,0.02%,0.04%,2.28%,1.33%,0.05%,0.02%,0.23%,0.29%,0.04%,0.04%,0.06%
