,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.3010,0.1982,0.3000,0.6999,0.7043,0.3781,0.9995,1.0001,-0.4993,0.2999,0.7995,-0.0007,-0.0001
error,0.000114495,0.000141344,1.85E-05,2.23E-05,0.002797203,0.009468913,1.55E-05,4.37E-05,4.26E-05,5.30E-05,5.89E-05,2.89E-05,2.63E-05
0.05,0.2813,0.1811,0.2924,0.6929,0.6165,0.1903,0.9936,0.9882,-0.5085,0.2882,0.7881,-0.0079,-0.0082
0.25,0.2926,0.1892,0.2968,0.6968,0.6689,0.3201,0.9969,0.9962,-0.5040,0.2951,0.7939,-0.0046,-0.0039
0.5,0.3024,0.1975,0.3003,0.6996,0.7030,0.3959,0.9991,1.0004,-0.4986,0.2996,0.7990,-0.0012,0.0003
0.75,0.3091,0.2063,0.3024,0.7027,0.7490,0.4374,1.0026,1.0045,-0.4948,0.3046,0.8043,0.0021,0.0039
0.95,0.3161,0.2204,0.3070,0.7094,0.7815,0.5112,1.0053,1.0114,-0.4882,0.3130,0.8140,0.0096,0.0071
