3140s/4,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.32,0.17,0.3,0.7,0.63,-356.44,1,1,-0.5,0.31,0.79,0.01,-0.01
error,0.11%,0.16%,0.02%,0.02%,1.04%,30424189.15%,0.00%,0.03%,0.04%,0.01%,0.04%,0.03%,0.01%
