,beta0,beta1,beta2_1,beta2_2,p11,p22,delta1,delta2,gamma1,gamma2,gamma3,gamma4,gamma5
estimation,0.3005,0.2002,0.4955,0.5014,0.5423,0.5312,0.9998,0.9996,-0.5016,0.3017,0.8021,-0.0009,0.0007
error,0.01%,0.00%,7.01%,7.09%,5.41%,5.07%,0.01%,0.01%,0.02%,0.02%,0.03%,0.02%,0.01%
0.05,0.28012822,0.190076817,0.286011194,0.286317431,0.193430993,0.19200801,0.980354581,0.982835421,-0.526413981,0.277712234,0.774224721,-0.024979593,-0.018106448
0.25,0.291147186,0.195998557,0.297463538,0.29850714,0.403138444,0.384383964,0.992985831,0.992570222,-0.510424359,0.291532916,0.789880114,-0.010655275,-0.007396512
0.5,0.300124675,0.200099339,0.319639665,0.67475077,0.562346714,0.560654207,0.999747786,0.999411185,-0.501729064,0.301538694,0.801862696,-0.000439934,0.000870056
0.75,0.31009157,0.204411668,0.698576144,0.697868697,0.696575548,0.703627309,1.00728968,1.006077792,-0.491292948,0.311390912,0.814032417,0.007835356,0.008152201
0.95,0.322237262,0.210846197,0.712471154,0.709317538,0.818985491,0.825382931,1.016843061,1.01764401,-0.477468731,0.325057566,0.829569098,0.020829282,0.019853723
