"","x"
"1",0.0227491029571823
"2",0.109636040721228
"3",0.139832664033349
"4",0.111050066734757
"5",0.0963634820906597
"6",0.0181530704992063
"7",0.133417500974394
"8",0.121196735041446
"9",0.11528919458653
"10",0.0203968902594268
"11",0.11997647754264
"12",0.0293251769841018
"13",0.0335239756415608
"14",0.0966953949329266
"15",0.0966044361962634
"16",0.0275962686999538
"17",0.0323319406756485
"18",0.103130855274541
"19",0.0200045999770622
"20",0.10098277246509
"21",0.104771726112637
"22",0.123964183072938
"23",0.122286758664127
"24",0.116583421735782
"25",0.106652845813173
"26",0.0370359664106293
"27",0.105530929675923
"28",0.0321088636638417
"29",0.0201281262777914
"30",0.0241630948338979
"31",0.105162183901279
"32",0.115600580914599
"33",0.0204902604827296
"34",0.12313122761661
"35",0.0315712534022988
"36",0.110968093247468
"37",0.0280327776803054
"38",0.0250468373275814
"39",0.110766390631788
"40",0.0220650814294226
"41",0.10524342681416
"42",0.032156287808223
"43",0.116716458192628
"44",0.126843969362778
"45",0.101884764369775
"46",0.0278369260239732
"47",0.131901395199642
"48",0.0305402493460246
"49",0.0182986440608265
"50",0.0277745582015648
"51",0.116980145167934
"52",0.00895924286665355
"53",0.0371379593723129
"54",0.0151561562385542
"55",0.0936735956116448
"56",0.112523732737881
"57",0.0124887727193381
"58",0.108268444167025
"59",0.10303872021728
"60",0.0240358755687706
"61",0.113050787642939
"62",0.122430725620477
"63",0.111638910180274
"64",0.0346129975792916
"65",0.0130161861407075
"66",0.107998160015851
"67",0.105226381624405
"68",0.0991996683594556
"69",0.10782479695074
"70",0.0142417009673182
"71",0.0116087589951214
"72",0.0280583114175998
"73",0.0347490602102416
"74",0.122162168365656
"75",0.0311313029802174
"76",0.115373073868205
"77",0.110990255074007
"78",0.141770006791178
"79",0.113613025357413
"80",0.0273149345480352
"81",0.111773110648903
"82",0.0257760732170997
"83",0.0129769300071676
"84",0.0152602247671278
"85",0.0223430934581512
"86",0.0794969540604365
"87",0.112950029573947
"88",0.0250134959022197
"89",0.0904904143145513
"90",0.0289041487371849
"91",0.0269781961164225
"92",0.0196359223191386
"93",0.104071558797538
"94",0.0329015105254997
"95",0.0277103044248761
"96",0.0456477682234367
"97",0.12736364344925
"98",0.0290029705612937
"99",0.0162590521075674
"100",0.0235276657337264
"101",0.0228637602595148
"102",0.118561514771233
"103",0.0395526081222882
"104",0.0315258842057035
"105",0.107546312490934
"106",0.0958340499824564
"107",0.115714967672315
"108",0.0953621140638665
"109",0.0243746419807194
"110",0.139245961321313
"111",0.0191930165257267
"112",0.130919034463148
"113",0.105412348754839
"114",0.11401916203264
"115",0.101315595215644
"116",0.127546585360956
"117",0.10204319314018
"118",0.042761842301725
"119",0.100046085642743
"120",0.108750358790612
"121",0.0248746600309808
"122",0.0229011113212712
"123",0.0206111765577869
"124",0.0311223985293049
"125",0.117386856142278
"126",0.105409613303249
"127",0.0131952783206244
"128",0.0138917501236604
"129",0.120247763426704
"130",0.0279331510635507
"131",0.0183434161707688
"132",0.0262239343628076
"133",0.0311990963714976
"134",0.116687042320992
"135",0.12111470711827
"136",0.111575472481952
"137",0.0176652051307913
"138",0.129594482766216
"139",0.104873062766464
"140",0.0198907473789115
"141",0.0266553500432849
"142",0.0219892763235393
"143",0.0183349032496802
"144",0.114806950904451
"145",0.0263298356203964
"146",0.0346547893288236
"147",0.136381666187778
"148",0.117420842272523
"149",0.0159974753923301
"150",0.132513193136478
"151",0.0152448034772173
"152",0.103938808460326
"153",0.0951316053453204
"154",0.0241014158496454
"155",0.101175636215854
"156",0.102028801880311
"157",0.0325953280976011
"158",0.127525006139714
"159",0.0317589210613134
"160",0.104163666422464
"161",0.0339485969002812
"162",0.0180314086138149
"163",0.0129767420568684
"164",0.0231889300272629
"165",0.105996541603201
"166",0.0150415959456989
"167",0.0257718968713652
"168",0.127688496388888
